id,category,type,registration_number,deletion_date,registration,country
1186941,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,1102,,OK-1102,CZ
1187228,,VUT 100,MIH,2022-09-15T23:00:00.000Z,OK-MIH,CZ
1187288,AVREG_DATA.CATEGORIES.GLIDER,GROB SAILPLANES,3344,,OK-3344,CZ
1187302,AVREG_DATA.CATEGORIES.GLIDER,L 23,5550,,OK-5550,CZ
1187406,AVREG_DATA.CATEGORIES.AIRPLANE,B 737,TVV,,OK-TVV,CZ
1187596,AVREG_DATA.CATEGORIES.GLIDER,ASTIR CS,9916,,OK-9916,CZ
1187650,AVREG_DATA.CATEGORIES.AIRPLANE,SR22,VIK,2017-06-27T07:00:00.000Z,OK-VIK,CZ
1187709,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 172,ELR,,OK-ELR,CZ
1187932,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,AQK,,OK-AQK,CZ
1187989,AVREG_DATA.CATEGORIES.GLIDER,SF 27 A,1426,,OK-1426,CZ
1188019,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,3231,,OK-3231,CZ
1188178,AVREG_DATA.CATEGORIES.AIRPLANE,Pilatus PC-12,PCB,2015-05-18T13:00:00.000Z,OK-PCB,CZ
1188247,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,1511,,OK-1511,CZ
1188282,AVREG_DATA.CATEGORIES.GLIDER,K7,5706,,OK-5706,CZ
1188427,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA46,ALT,,OK-ALT,CZ
1188478,AVREG_DATA.CATEGORIES.GLIDER,L 23,3116,,OK-3116,CZ
1189016,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,ODM,2012-05-28T07:30:00.000Z,OK-ODM,CZ
1189022,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,ODN,2011-12-15T23:00:00.000Z,OK-ODN,CZ
1189027,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,ODO,2012-05-28T07:30:00.000Z,OK-ODO,CZ
1189057,AVREG_DATA.CATEGORIES.GLIDER,K7,1628,,OK-1628,CZ
1190155,AVREG_DATA.CATEGORIES.GLIDER,K7,8010,,OK-8010,CZ
1190316,AVREG_DATA.CATEGORIES.HELICOPTER,R 22,HDS,,OK-HDS,CZ
1190454,AVREG_DATA.CATEGORIES.AIRPLANE,Z 526,DRK,,OK-DRK,CZ
1190985,AVREG_DATA.CATEGORIES.POWERED_GLIDER,HPH Glasflügel 304,2031,,OK-2031,CZ
1191573,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,VIN,,OK-VIN,CZ
1192367,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna F 172,BAF,,OK-BAF,CZ
1192537,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,ODP,2012-03-27T08:30:00.000Z,OK-ODP,CZ
1192792,AVREG_DATA.CATEGORIES.GLIDER,Bergfalke,1427,,OK-1427,CZ
1192807,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,8870,,OK-8870,CZ
1192829,AVREG_DATA.CATEGORIES.GLIDER,GROB SAILPLANES,4758,,OK-4758,CZ
1193206,AVREG_DATA.CATEGORIES.GAS_BALLOON,K-STU/1000,0001,,OK-0001,CZ
1193638,AVREG_DATA.CATEGORIES.GLIDER,Glasflügel Sailplanes,7189,,OK-7189,CZ
1193739,AVREG_DATA.CATEGORIES.GLIDER,LS 1-f,3136,,OK-3136,CZ
1193974,AVREG_DATA.CATEGORIES.GLIDER,DG-100,8015,,OK-8015,CZ
1194009,AVREG_DATA.CATEGORIES.GLIDER,ASW 19,7984,2021-05-19T09:00:00.000Z,OK-7984,CZ
1194054,AVREG_DATA.CATEGORIES.AIRPLANE,PS-28 Cruiser,RTO,2013-11-28T08:00:00.000Z,OK-RTO,CZ
1194093,AVREG_DATA.CATEGORIES.GLIDER,LS 3,7722,2014-10-03T11:00:00.000Z,OK-7722,CZ
1194234,AVREG_DATA.CATEGORIES.AIRPLANE,Z 526,XRX,,OK-XRX,CZ
1194493,AVREG_DATA.CATEGORIES.AIRPLANE,CT,CPK,,OK-CPK,CZ
1194797,AVREG_DATA.CATEGORIES.GLIDER,ASW 20,3154,,OK-3154,CZ
1194967,AVREG_DATA.CATEGORIES.GLIDER,ASW 24 ,2607,,OK-2607,CZ
1194971,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,HIC,,OK-HIC,CZ
1195587,AVREG_DATA.CATEGORIES.AIRPLANE,BEECH C-90,PRG,2021-11-19T11:00:00.000Z,OK-PRG,CZ
1195930,AVREG_DATA.CATEGORIES.GLIDER,Phoebus A1,9205,,OK-9205,CZ
1196037,AVREG_DATA.CATEGORIES.GLIDER,NIMBUS,2783,,OK-2783,CZ
1196157,AVREG_DATA.CATEGORIES.AIRPLANE,Socata,CHO,2020-12-21T23:00:00.000Z,OK-CHO,CZ
1196513,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,3945,,OK-3945,CZ
1196555,AVREG_DATA.CATEGORIES.GLIDER,ASW 19,3722,,OK-3722,CZ
1196572,AVREG_DATA.CATEGORIES.GLIDER,Rhönlerche II,0858,,OK-0858,CZ
1196810,AVREG_DATA.CATEGORIES.GLIDER,Standard Cirrus,5847,,OK-5847,CZ
1197089,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 152,MMC,,OK-MMC,CZ
1197094,AVREG_DATA.CATEGORIES.GLIDER,ASW 15,0699,2018-11-28T09:03:00.000Z,OK-0699,CZ
1197327,AVREG_DATA.CATEGORIES.AIRPLANE,EMB-505,PHE,2014-07-22T13:00:00.000Z,OK-PHE,CZ
1197376,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,2394,,OK-2394,CZ
1197380,AVREG_DATA.CATEGORIES.GLIDER,NIMBUS,2829,,OK-2829,CZ
1197727,AVREG_DATA.CATEGORIES.GLIDER,ASW 15,7119,,OK-7119,CZ
1197910,AVREG_DATA.CATEGORIES.AIRPLANE,MIG-15UTI,UTI,,OK-UTI,CZ
1198229,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,WRC,,OK-WRC,CZ
1198330,AVREG_DATA.CATEGORIES.AIRPLANE,SR20,LAW,,OK-LAW,CZ
1198836,AVREG_DATA.CATEGORIES.GLIDER,ASTIR CS,5053,,OK-5053,CZ
1199047,AVREG_DATA.CATEGORIES.GLIDER,K7,4069,,OK-4069,CZ
1199101,AVREG_DATA.CATEGORIES.GLIDER,L 23,8688,,OK-8688,CZ
1199521,AVREG_DATA.CATEGORIES.AIRPLANE,PIPER PA28,FOP,2016-03-23T08:00:00.000Z,OK-FOP,CZ
1199664,AVREG_DATA.CATEGORIES.GLIDER,DG-200,2882,,OK-2882,CZ
1200070,AVREG_DATA.CATEGORIES.AIRPLANE,Z 326,ROB,,OK-ROB,CZ
1200193,AVREG_DATA.CATEGORIES.AIRPLANE,SU-29,FAN,2024-04-15T23:00:00.000Z,OK-FAN,CZ
1200288,AVREG_DATA.CATEGORIES.GLIDER,SF 34,3401,,OK-3401,CZ
1200573,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,3766,,OK-3766,CZ
1200613,AVREG_DATA.CATEGORIES.POWERED_GLIDER,DG-500,1010,,OK-1010,CZ
1200627,AVREG_DATA.CATEGORIES.GLIDER,Bergfalke,9360,,OK-9360,CZ
1200637,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna FR 172,PRI,,OK-PRI,CZ
1200707,AVREG_DATA.CATEGORIES.GLIDER,ASW 27,9178,,OK-9178,CZ
1200853,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,KTS,,OK-KTS,CZ
1200948,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,SBB,2013-03-04T09:00:00.000Z,OK-SBB,CZ
1200968,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,SBA,2013-03-27T09:00:00.000Z,OK-SBA,CZ
1201051,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 152,RAJ,,OK-RAJ,CZ
1201130,AVREG_DATA.CATEGORIES.HELICOPTER,CABRI G2,CAB,,OK-CAB,CZ
1201311,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON,BB,0023,,OK-0023,CZ
1201488,AVREG_DATA.CATEGORIES.GLIDER,HPH Glasflügel 304,2304,2013-10-02T12:00:00.000Z,OK-2304,CZ
1201529,AVREG_DATA.CATEGORIES.GLIDER,ASW 20,1199,2013-01-11T07:00:00.000Z,OK-1199,CZ
1201571,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,PZK,,OK-PZK,CZ
1201587,AVREG_DATA.CATEGORIES.GLIDER,NIMBUS,3368,,OK-3368,CZ
1201727,AVREG_DATA.CATEGORIES.GLIDER,LS 1-f,2739,,OK-2739,CZ
1201731,AVREG_DATA.CATEGORIES.GLIDER,DG-200/17,1979,,OK-1979,CZ
1201860,AVREG_DATA.CATEGORIES.GLIDER,Standard Cirrus,2957,,OK-2957,CZ
1202088,AVREG_DATA.CATEGORIES.GLIDER,LS 3,3898,,OK-3898,CZ
1202109,AVREG_DATA.CATEGORIES.GLIDER,"SZD-30C ""Pirat""",8725,2016-02-23T08:00:00.000Z,OK-8725,CZ
1202147,AVREG_DATA.CATEGORIES.AIRPLANE,B 737,SWX,2013-01-31T14:00:00.000Z,OK-SWX,CZ
1202207,AVREG_DATA.CATEGORIES.AIRPLANE,BEECH 400,ESC,,OK-ESC,CZ
1202313,AVREG_DATA.CATEGORIES.GLIDER,TWIN ASTIR,8144,,OK-8144,CZ
1202730,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 680,UGJ,2025-10-15T08:00:00.000Z,OK-UGJ,CZ
1202987,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna F 152,FDK,,OK-FDK,CZ
1202997,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna F 152,JHM,,OK-JHM,CZ
1203103,AVREG_DATA.CATEGORIES.AIRPLANE,Pilatus PC-12,PCC,2022-02-01T23:00:00.000Z,OK-PCC,CZ
1203547,AVREG_DATA.CATEGORIES.GLIDER,VENTUS,0459,,OK-0459,CZ
